,species,sex,age,locality,elevation,elev_cat,lat,lon,tHbcorr
565,Zonotrichia capensis,male,0,Chuquibamba,3200,h,-15.81433333,-72.66711667,16.3
566,Zonotrichia capensis,male,0,Chuquibamba,3200,h,-15.81433333,-72.66711667,16.1
567,Zonotrichia capensis,male,0,Chuquibamba,3200,h,-15.81433333,-72.66711667,17.4
568,Zonotrichia capensis,male,0,Chuquibamba,3200,h,-15.81433333,-72.66711667,16.1
569,Zonotrichia capensis,male,0,Chuquibamba,3200,h,-15.81433333,-72.66711667,17.9
573,Zonotrichia capensis,female,0,Carhuaz,3439,h,-9.572116667,-77.84745,16.4
581,Zonotrichia capensis,female,0,Puente „ununya,3563,h,-14.67873333,-73.1478,15.2
583,Zonotrichia capensis,male,0,Puente „ununya,3563,h,-14.67873333,-73.1478,15.3
587,Zonotrichia capensis,male,0,,3580,h,-13.48649,-72.98179,17.8
591,Zonotrichia capensis,male,0,,3680,h,-13.48365,-72.98068,19.4
600,Zonotrichia capensis,male,0,Caraz,3714,h,-9.100971667,-77.865555,14.5
601,Troglodytes aedon,male,0,Caraz,3714,h,-9.100971667,-77.865555,16.5
602,Troglodytes aedon,male,0,Caraz,3714,h,-9.100971667,-77.865555,15.2
605,Zonotrichia capensis,female,0,Carhuayumac,3750,h,-11.76188333,-76.54886667,13.3
606,Troglodytes aedon,male,0,Carampoma,3967,h,-11.62798333,-76.43485,19.3
607,Zonotrichia capensis,male,0,Carhuayumac,3750,h,-11.76188333,-76.54886667,16.2
